iter	RMSE
319	4.482458676
320	4.482073729
321	4.48006973
322	4.478229116
323	4.472187794
324	4.469759418
325	4.463828742
326	4.457669541
327	4.453925755
328	4.453553227
329	4.452082959
330	4.447711535
331	4.444243737
332	4.440764586
333	4.435357684
334	4.432324368
335	4.428288342
336	4.426264208
337	4.420159765
338	4.415233279
339	4.412415164
340	4.410063277
341	4.40848218
342	4.407403205
343	4.403346775
344	4.396894757
345	4.393798879
346	4.391277533
347	4.387073362
348	4.384013368
349	4.380023354
350	4.376763834
351	4.375956273
352	4.375733552
353	4.370371083
354	4.367348425
355	4.365661334
356	4.363795379
357	4.362359459
358	4.360598687
359	4.358510572
360	4.354418019
361	4.35252469
362	4.349337049
363	4.348399524
364	4.345328574
365	4.345020781
366	4.343534335
367	4.340247984
368	4.339493381
369	4.337702124
370	4.334369032
371	4.333344249
372	4.329243251
373	4.326057765
374	4.322337372
375	4.318799622
376	4.318499201
377	4.315067341
378	4.312682914
379	4.309462952
380	4.306172751
381	4.301800195
382	4.301463812
383	4.300081581
384	4.299941593
385	4.297595752
386	4.293802225
387	4.290552393
388	4.286102539
389	4.28243267
390	4.280742917
391	4.276096866
392	4.275017953
393	4.272123146
394	4.269973448
395	4.268217175
396	4.26416955
397	4.261033246
398	4.260724386
399	4.259473583
400	4.255100313
401	4.253496863
402	4.252776956
403	4.249441944
404	4.245149638
405	4.244635405
406	4.243566851
407	4.24106536
408	4.237409378
409	4.232308326
410	4.229174766
411	4.226752871
412	4.225369865
413	4.222864677
414	4.222267105
415	4.220886592
416	4.219731449
417	4.215453932
418	4.213614172
419	4.210672633
420	4.207856458
421	4.202718004
422	4.202568875
423	4.19862856
424	4.195672122
425	4.190872307
426	4.190537069
427	4.186625705
428	4.181792133
429	4.178483948
430	4.175957633
431	4.175204806
432	4.174466039
433	4.17366508
434	4.171134209
435	4.169880039
436	4.165329077
437	4.163298154
438	4.161175542
439	4.160885495
440	4.159318821
441	4.154504918
442	4.153209243
443	4.151342821
444	4.150065797
445	4.148932479
446	4.145663578
447	4.142510449
448	4.141477165
449	4.138665031
450	4.135300545
451	4.132894679
452	4.130453012
453	4.126562274
454	4.126360773
455	4.12375438
456	4.123303051
457	4.122251719
458	4.119463788
459	4.11860323
460	4.113933115
461	4.111410861
462	4.10898003
463	4.105376604
464	4.101203042
465	4.100953375
466	4.097833566
467	4.095171442
468	4.09264781
469	4.090145471
470	4.086238816
471	4.084915062
472	4.082015201
473	4.077258788
474	4.073537968
475	4.069162553
476	4.064953301
477	4.061363042
478	4.058882655
479	4.058441855
480	4.055588924
481	4.049466392
482	4.047831251
483	4.045716491
484	4.043087804
485	4.038270759
486	4.036527653
487	4.032797661
488	4.029202947
489	4.028491131
490	4.028329478
491	4.02496524
492	4.023869773
493	4.02250115
494	4.021882797
495	4.019174077
496	4.016956247
497	4.015324319
498	4.015092779
499	4.010262208
500	4.009291117
501	4.00737209
502	4.006716388
503	4.005295302
504	4.003247306
505	3.999437967
506	3.998120186
507	3.992227265
508	3.989848831
509	3.987767021
510	3.986038837
511	3.981833432
512	3.981684775
513	3.979835866
514	3.976427352
515	3.973504733
516	3.97119337
517	3.968173825
518	3.965460893
519	3.961773208
520	3.960851542
521	3.956783525
522	3.954435871
523	3.952260076
524	3.950697431
525	3.949402135
526	3.948473156
527	3.946111226
528	3.944678913
529	3.941598901
530	3.940609604
531	3.936854009
532	3.93653205
533	3.934414129
534	3.931727754
535	3.930159017
536	3.925878897
537	3.924127809
538	3.920009436
539	3.917240413
540	3.91560049
541	3.914064263
542	3.910613809
543	3.909121335
544	3.907173243
545	3.903984405
546	3.902450209
547	3.900428415
548	3.899781169
549	3.895410108
550	3.890610117
551	3.889190405
552	3.885570678
553	3.885280259
554	3.884139295
555	3.881715179
556	3.880418571
557	3.877435786
558	3.876506072
559	3.872441633
560	3.869093458
561	3.864291546
562	3.861504113
563	3.858242805
564	3.855115828
565	3.852410271
566	3.851660181
567	3.848283577
568	3.843679064
569	3.840249714
570	3.839150728
571	3.835978441
572	3.831807913
573	3.831639296
574	3.831194894
575	3.829322007
576	3.828157197
577	3.827207247
578	3.822866469
579	3.81853243
580	3.817666811
581	3.81499875
582	3.812230486
583	3.810640793
584	3.807163346
585	3.804403917
586	3.800835758
587	3.799367617
588	3.796947389
589	3.796509163
590	3.792397711
591	3.790893663
592	3.788369925
593	3.784306474
594	3.784063084
595	3.781741001
596	3.780467231
597	3.780032599
598	3.778194714
599	3.774989729
600	3.774825378
601	3.774123778
602	3.770552965
603	3.769223945
604	3.768341047
605	3.766179748
606	3.762536216
607	3.761455799
608	3.759823337
609	3.75932276
610	3.755589837
611	3.754977781
612	3.753713254
613	3.752070153
614	3.751550982
615	3.751217531
616	3.749065847
617	3.748071363
618	3.746361191
619	3.744671465
620	3.744425958
621	3.744214223
622	3.743315843
623	3.742739806
624	3.73858059
625	3.734428679
626	3.731789628
627	3.730536251
628	3.726579186
629	3.724615971
630	3.721325355
631	3.720150788
632	3.71761943
633	3.717453274
634	3.71719966
635	3.713112784
636	3.71016901
637	3.708676267
638	3.706404286
639	3.70438234
640	3.70239481
641	3.700906853
642	3.697805962
643	3.695259106
644	3.694582172
645	3.694000035
646	3.691706174
647	3.690856907
648	3.68805286
649	3.686316526
650	3.685977159
651	3.683102505
652	3.681858507
653	3.67873558
654	3.676931906
655	3.67490284
656	3.672865277
657	3.66914851
658	3.667752846
659	3.664697363
660	3.662845428
661	3.661611891
662	3.659263314
663	3.655945003
664	3.65408829
665	3.650572845
666	3.647426942
667	3.643914251
668	3.642266242
669	3.639829476
670	3.638438259
671	3.637222947
672	3.634987154
673	3.633368108
674	3.630753933
675	3.629642342
676	3.629500244
677	3.627777937
678	3.624387526
679	3.621759158
680	3.62051545
681	3.619369999
682	3.61820704
683	3.616556247
684	3.614118253
685	3.613620531
686	3.612032552
687	3.610188051
688	3.608960007
689	3.604500495
690	3.604021321
691	3.600841633
692	3.600574158
693	3.599194044
694	3.598022046
695	3.597528269
696	3.596735208
697	3.592417541
698	3.589599734
699	3.588060713
700	3.584774262
701	3.5830441
702	3.582523739
703	3.581768893
704	3.579518756
705	3.577489531
706	3.576072088
707	3.575400752
708	3.573688239
709	3.571868293
710	3.570364213
711	3.56851031
712	3.568032078
713	3.566943014
714	3.565687657
715	3.564544284
716	3.561792266
717	3.561249761
718	3.561055183
719	3.559676424
720	3.556084392
721	3.55408712
722	3.550558365
723	3.548480116
724	3.546239281
725	3.544618216
726	3.54284557
727	3.542456907
728	3.540491185
729	3.538211373
730	3.537778015
731	3.536204581
732	3.536110842
733	3.533715126
734	3.532651281
735	3.529788703
736	3.528543708
737	3.527900268
738	3.527327199
739	3.525967266
740	3.524546616
741	3.521338755
742	3.520666529
743	3.519185784
744	3.516878533
745	3.516096027
746	3.513280805
747	3.510343041
748	3.507614193
749	3.506277829
750	3.506204967
751	3.50584605
752	3.505471515
753	3.504550884
754	3.503128771
755	3.501907154
756	3.500225127
757	3.497112145
758	3.494298279
759	3.492100685
760	3.490312741
761	3.490194175
762	3.489195078
763	3.485275836
764	3.482061219
765	3.480848897
766	3.48034814
767	3.478788282
768	3.477366509
769	3.476392157
770	3.475542008
771	3.472952293
772	3.472069575
773	3.469538366
774	3.46844395
775	3.467316422
776	3.464404291
777	3.461400927
778	3.46026205
779	3.457701725
780	3.455626207
781	3.453929162
782	3.451569238
783	3.450563186
784	3.448784835
785	3.447580331
786	3.446765299
787	3.446555893
788	3.445349816
789	3.444240066
790	3.443695747
791	3.441293795
792	3.441235966
793	3.438977216
794	3.436328632
795	3.434826309
796	3.433476089
797	3.430550656
798	3.430123655
799	3.426952713
800	3.425355535
801	3.424771243
802	3.423505727
803	3.423033208
804	3.421382891
805	3.418255748
806	3.417684223
807	3.41739683
808	3.416521997
809	3.413471013
810	3.411493916
811	3.410601701
812	3.407567407
813	3.405937615
814	3.405450093
815	3.403038876
816	3.401958695
817	3.39936684
818	3.396650027
819	3.394114981
820	3.393880648
821	3.392057742
822	3.388552784
823	3.387061444
824	3.386810652
825	3.386184789
826	3.383424618
827	3.382350619
828	3.381542327
829	3.379215996
830	3.37834467
831	3.375204373
832	3.372050603
833	3.369081073
834	3.368251747
835	3.365404429
836	3.365294168
837	3.36275993
838	3.360836479
839	3.359985488
840	3.357734648
841	3.357619205
842	3.355179182
843	3.35364932
844	3.351084737
845	3.346435044
846	3.343458861
847	3.341900407
848	3.340401495
849	3.340021746
850	3.338984438
851	3.338092333
852	3.336562274
853	3.334265957
854	3.333994605
855	3.333361783
856	3.333179509
857	3.33200928
858	3.330505631
859	3.33011652
860	3.328478523
861	3.326357593
862	3.326121022
863	3.325529344
864	3.323455289
865	3.32228173
866	3.320528709
867	3.31974443
868	3.31778531
869	3.316645164
870	3.316606755
871	3.315499315
872	3.314341723
873	3.313821364
874	3.312242841
875	3.310515444
876	3.307775655
877	3.30769965
878	3.305762142
879	3.302554804
880	3.299804029
881	3.299439734
882	3.296323341
883	3.294567522
884	3.294063677
885	3.291345362
886	3.289308435
887	3.28767982
888	3.287181474
889	3.285250775
890	3.282589081
891	3.28170549
892	3.280062659
893	3.277456631
894	3.276428704
895	3.274507915
896	3.274286139
897	3.273135733
898	3.27056369
899	3.270014366
900	3.268177274
901	3.266655334
902	3.265767991
903	3.265636899
904	3.263074836
905	3.261148967
906	3.25944921
907	3.258574045
908	3.258022363
909	3.256614374
910	3.253154937
911	3.251534856
912	3.2478694
913	3.247734757
914	3.246023748
915	3.244004545
916	3.241492313
917	3.240529414
918	3.238183293
919	3.23755083
920	3.236784991
921	3.236736868
922	3.234491741
923	3.234364891
924	3.23246159
925	3.232456496
926	3.231631809
927	3.229923191
928	3.228735191
929	3.228069542
930	3.22781584
931	3.22749938
932	3.226234439
933	3.226195723
934	3.225679987
935	3.223791966
936	3.221819443
937	3.219724924
938	3.219494645
939	3.218765317
940	3.217771164
941	3.215046472
942	3.213476455
943	3.213236896
944	3.213108034
945	3.212419386
946	3.209994046
947	3.206017773
948	3.205933451
949	3.205731026
950	3.204582289
951	3.203304059
952	3.199701413
953	3.199354301
954	3.19684923
955	3.193825802
956	3.192381835
957	3.192271849
958	3.191296114
959	3.190396931
960	3.190232919
961	3.188716387
962	3.188544953
963	3.187962683
964	3.185938869
965	3.185385113
966	3.182101865
967	3.18202987
968	3.180407928
969	3.179983476
970	3.177886732
971	3.177251394
972	3.176931076
973	3.176465467
974	3.175548684
975	3.172979519
976	3.171006423
977	3.168824233
978	3.168784988
979	3.167736013
980	3.166552341
981	3.165866739
982	3.16550576
983	3.164328603
984	3.163393171
985	3.162449487
986	3.161198639
987	3.160587826
988	3.158860066
989	3.15876429
990	3.156293256
991	3.155603118
992	3.154045762
993	3.153955639
994	3.153433265
995	3.152526408
996	3.149952372
997	3.148335885
998	3.147863108
999	3.146334722
