iter	Passed	Remaining
471	722	807
472	723	806
473	724	803
474	725	801
475	726	799
476	727	797
477	732	800
478	734	798
479	736	797
480	736	795
481	737	793
482	738	790
483	739	788
484	741	787
485	742	784
486	743	782
487	744	780
488	745	778
489	746	776
490	751	779
491	753	777
492	755	776
493	756	774
494	758	773
495	759	771
496	760	769
497	761	767
498	762	765
499	763	763
500	763	760
501	764	758
502	766	757
503	769	757
504	770	755
505	771	753
506	772	751
507	773	749
508	774	747
509	775	745
510	776	743
511	777	741
512	778	739
513	779	737
514	780	735
515	782	734
516	788	737
517	790	735
518	792	734
519	793	732
520	794	730
521	795	728
522	796	726
523	797	724
524	798	722
525	799	720
526	800	718
527	801	716
528	802	714
529	804	713
530	808	713
531	809	712
532	810	710
533	811	708
534	812	706
535	813	704
536	814	702
537	815	700
538	816	698
539	817	696
540	818	694
541	819	692
542	820	690
543	825	691
544	826	690
545	828	689
546	829	687
547	830	685
548	831	683
549	832	681
550	833	679
551	834	677
552	835	675
553	836	673
554	837	671
555	838	669
556	842	669
557	847	671
558	850	670
559	851	668
560	852	666
561	853	664
562	853	662
563	854	660
564	855	658
565	857	657
566	858	655
567	860	654
568	861	652
569	863	651
570	864	649
571	865	647
572	866	646
573	867	644
574	868	642
575	869	640
576	871	638
577	872	636
578	873	634
579	873	632
580	875	631
581	876	629
582	881	630
583	882	628
584	885	628
585	886	626
586	887	624
587	888	622
588	889	620
589	890	618
590	890	616
591	892	614
592	893	613
593	894	611
594	895	609
595	898	609
596	903	609
597	904	608
598	906	606
599	907	604
600	908	603
601	909	601
602	910	599
603	911	597
604	912	595
605	913	593
606	914	592
607	915	590
608	918	589
609	920	588
610	920	586
611	921	584
612	922	582
613	923	580
614	924	578
615	925	576
616	927	575
617	928	573
618	929	572
619	930	570
620	931	568
621	932	566
622	933	565
623	937	564
624	939	563
625	940	561
626	941	559
627	942	558
628	943	556
629	944	554
630	945	552
631	946	550
632	947	549
633	948	547
634	949	545
635	950	544
636	953	543
637	954	541
638	955	539
639	956	538
640	957	536
641	958	534
642	959	532
643	961	531
644	962	529
645	963	527
646	964	525
647	964	524
648	965	522
649	966	520
650	967	518
651	973	519
652	974	517
653	976	516
654	977	514
655	978	512
656	979	511
657	980	509
658	981	507
659	983	506
660	984	504
661	985	503
662	986	501
663	988	500
664	993	500
665	995	499
666	996	497
667	997	495
668	998	493
669	999	492
670	1000	490
671	1001	488
672	1002	486
673	1003	485
674	1004	483
675	1005	481
676	1009	481
677	1010	479
678	1011	478
679	1012	476
680	1013	474
681	1014	472
682	1015	471
683	1017	470
684	1019	468
685	1020	467
686	1022	465
687	1023	464
688	1024	462
689	1030	462
690	1031	461
691	1033	460
692	1034	458
693	1035	456
694	1036	454
695	1037	453
696	1038	451
697	1039	449
698	1040	448
699	1041	446
700	1042	444
701	1043	442
702	1048	442
703	1049	441
704	1051	439
705	1053	438
706	1054	437
707	1055	435
708	1056	433
709	1057	431
710	1058	430
711	1059	428
712	1060	426
713	1061	425
714	1066	425
715	1067	423
716	1068	421
717	1069	420
718	1070	418
719	1071	416
720	1073	415
721	1074	413
722	1075	412
723	1077	410
724	1079	409
725	1080	407
726	1085	407
727	1089	407
728	1091	405
729	1092	404
730	1093	402
731	1095	400
732	1095	399
733	1097	397
734	1098	396
735	1101	395
736	1103	393
737	1104	391
738	1105	390
739	1107	389
740	1108	387
741	1109	385
742	1110	384
743	1111	382
744	1113	381
745	1114	379
746	1115	377
747	1117	376
748	1119	375
749	1120	373
750	1121	371
751	1122	370
752	1123	368
753	1124	366
754	1125	365
755	1126	363
756	1127	361
757	1128	360
758	1129	358
759	1130	356
760	1141	358
761	1142	356
762	1143	355
763	1144	353
764	1145	351
765	1146	350
766	1147	348
767	1149	347
768	1151	345
769	1154	344
770	1155	343
771	1156	341
772	1157	339
773	1158	338
774	1159	336
775	1160	334
776	1161	333
777	1163	331
778	1164	330
779	1165	328
780	1166	326
781	1167	325
782	1167	323
783	1173	323
784	1175	321
785	1176	320
786	1177	318
787	1178	317
788	1179	315
789	1180	313
790	1181	312
791	1182	310
792	1183	309
793	1184	307
794	1185	305
795	1186	304
796	1192	303
797	1193	302
798	1195	300
799	1196	299
800	1198	297
801	1199	296
802	1200	294
803	1201	292
804	1202	291
805	1203	289
806	1203	287
807	1204	286
808	1207	284
809	1209	283
810	1210	282
811	1211	280
812	1212	278
813	1213	277
814	1214	275
815	1215	274
816	1216	272
817	1217	270
818	1218	269
819	1220	267
820	1220	266
821	1221	264
822	1222	262
823	1223	261
824	1228	260
825	1230	259
826	1232	257
827	1233	256
828	1234	254
829	1235	253
830	1236	251
831	1237	249
832	1238	248
833	1239	246
834	1240	245
835	1241	243
836	1242	241
837	1245	240
838	1247	239
839	1248	237
840	1249	236
841	1250	234
842	1251	232
843	1252	231
844	1253	229
845	1253	228
846	1254	226
847	1255	225
848	1257	223
849	1258	222
850	1259	220
851	1260	218
852	1265	218
853	1267	216
854	1269	215
855	1270	213
856	1271	212
857	1272	210
858	1273	209
859	1274	207
860	1275	205
861	1276	204
862	1277	202
863	1278	201
